ID,Area,City,Restaurant,Price,Avg ratings,Total ratings,Food type,Address,Restaurant_name_length
300372,Athwa,Surat,Barbeque Nation,600.0,3.9,100,"North Indian,Mughlai,Seafood,Biryani,Desserts,Kebabs",Parle Point,15
300474,Bidhannagar,Kolkata,Bijoli Grill,800.0,4.3,100,Chinese,Salt Lake,12
300608,Bhowanipore,Kolkata,Dakshin Bhog,450.0,4.4,100,South Indian,Central Kolkata,12
300609,Vasanth Nagar,Bangalore,Chungs Chinese Corner - Cunningham Road,450.0,4.2,100,"Chinese,Snacks",Cunningham Road,39
300791,Bidhannagar,Kolkata,Bangalier Rannaghor,200.0,3.8,500,Bengali,Near Iam School  Saltlake Sector V,19
300792,Ballygunge,Kolkata,Forever Foods,200.0,2.9,80,"Chinese,Thalis,Pizzas",Central Kolkata,13
301010,Bidhannagar,Kolkata,Kolkata@99,200.0,3.8,5000,Indian,Salt Lake,10
301056,Neelasandra,Bangalore,Kabab Magic Roll,400.0,2.9,80,Snacks,Central Bangalore,16
301073,Kilpauk,Chennai,Rolls On Wheels,200.0,2.9,80,"Ice Cream,Beverages,Fast Food",Kilpauk,15
301104,Tagore Garden Extension,Delhi,Andhra Kodi Pulao,350.0,4.3,20,"Biryani,North Indian,Kebabs",Rajouri Garden,17
301126,Andheri East,Mumbai,Foodpost,300.0,4.1,100,"Chinese,Indian",Andheri East,8
301181,Ranip,Ahmedabad,Pvr Cafe,300.0,2.9,80,"Snacks,Fast Food,American",Pvr Arved Ahmedabad,8
301288,Indiranagar,Bangalore,Gourmet Glocal - Sandwiches & Salads,500.0,2.9,80,"Continental,Beverages",Indiranagar,36
